video_id,title,description,channel_title,category_id,category_name,tags,published_at,view_count,like_count,comment_count,duration,thumbnail_url
D54StAZFUrc,AKMU - '소문의 낙원 (Paradise of Rumors)' M/V,"잠깐 앉아요
따뜻한 스프와 고기가 있어요
지친 나그네여
도시에선 절대 알 수 없는 게 있죠
TV에선 절대 볼 수 없는 게 있죠

소문의 낙원
누군가 비웃으면 난 더 힘내요
소문의 낙원
물집을 터뜨리고 붕대를 감았죠
떠나야지만 알 수 있는 게 있죠

지치고 병든 나그네여
우 외톨이 나그네여
당신의 불치병은 그곳에
존재할 수 없어요

잠깐 앉아요 
따뜻한 스프와 고기가 있어요
소문의 낙원
우린 모두 그곳을 찾아 떠나왔죠
겁쟁이는 절대 모를 세상이 있죠

지치고 병든 나그네여
우 외톨이 나그네여
당신의 불치병은 그곳에
존재할 수

느리게 오래 걸어가요
우 소문의 낙원으로
사랑을 발견하기 위해
도시를 떠나왔어요",AKMU,10,Music,K-pop|악동뮤지션|악뮤|AKDONG MUSICIAN|AKMU|이찬혁|이수현|LEE CHANHYUK|LEE SUHYUN|찬혁|수현|CHANHYUK|SUHYUN,2026-04-02T15:00:06Z,3494717,125010,6926,PT3M38S,https://i.ytimg.com/vi/D54StAZFUrc/hqdefault.jpg
_gyultVTesk,BTS (방탄소년단) '2.0' Official MV,"BTS 5th Album 'ARIRANG'
🎧 https://bts.lnk.to/ARIRANG


Credits:
[Production]
Production : HANBAGO

Director: Hangyeol Lee
Executive Producer: Noel Jeong
Assistant Director: Tae Young Seok
Assistant Producer: Yu Jin Jeong

Director of Photography: Yechan Shin 
B Camera Operator: Subin Park
1st Assistant Camera: Hyuntae Kim, Yujin Jeon
2nd Assistant Camera: Gwonwoo Shin, Younji Choi
3rd Assistant Camera: Jinhyeok Kim
DIT: Jaewook Kim

Key Grip: Chun Junsoo
Grip Team
1st : Won Heejae
2nd:  Choi Dae",HYBE LABELS,10,Music,HYBE|HYBE LABELS|하이브|하이브레이블즈,2026-04-01T15:00:01Z,28783332,3309198,218082,PT3M55S,https://i.ytimg.com/vi/_gyultVTesk/hqdefault.jpg
7kCDaxIjZFY,AE,"Provided to YouTube by GENIE MUSIC

AE · Park Hyo Shin

A & E

℗ 2026 HERBIGHARO under licence to Genie Music Corporation

Released on: 2026-04-03

Lyricist: Park Hyo Shin
Lyricist: 김이나
Composer: Park Hyo Shin
Composer: SAM KIM
Arranger: Park Hyo Shin
Arranger: SAM KIM
Arranger: Freedo
Arranger: Ryan Bickley

Auto-generated by YouTube.",Park Hyo Shin - Topic,10,Music,Park Hyo Shin|박효신|A & E|AE,2026-04-03T09:03:02Z,409119,5656,160,PT4M56S,https://i.ytimg.com/vi/7kCDaxIjZFY/hqdefault.jpg
HttxcynVU48,RUDE!,"Provided to YouTube by SM Entertainment

RUDE! · Hearts2Hearts

iScreaM Vol.39 : RUDE! Remixes

℗ 2026 SM Entertainment

Released on: 2026-03-27

Producer: Sebastian Thott
Lyricist: Park Taewon
Lyricist: danke
Lyricist: Hyungsuk Lee
Composer, Arranger: Sebastian Thott
Composer: Maya Rose
Composer: Arineh Karimi

Auto-generated by YouTube.",Hearts2Hearts - Topic,10,Music,Hearts2Hearts|iScreaM Vol.39 : RUDE! Remixes|RUDE!,2026-03-27T09:01:39Z,2842341,31577,194,PT3M20S,https://i.ytimg.com/vi/HttxcynVU48/hqdefault.jpg
PYpOJyl3Sbg,GAME OVER ?,"Provided to YouTube by Mound Media Inc.

GAME OVER ? · HANRORO

LOVE&HATE

℗ authentic, under license to POCLANOS

Released on: 2026-04-02

Producer: Ryo
Lyricist: HANRORO
Composer: HANRORO
Composer: Ryo
Arranger: HANRORO
Arranger: Ryo

Auto-generated by YouTube.",HANRORO - Topic,10,Music,HANRORO|한로로|LOVE&HATE|애증|GAME OVER ?|게임 오버 ?,2026-04-02T09:00:35Z,640703,7857,139,PT3M17S,https://i.ytimg.com/vi/PYpOJyl3Sbg/hqdefault.jpg
_HfPhMd_J_s,1111,"Provided to YouTube by Mound Media Inc.

1111 · HANRORO

LOVE&HATE

℗ authentic, under license to POCLANOS

Released on: 2026-04-02

Producer: Dennis Jin
Lyricist: HANRORO
Composer: HANRORO
Composer: Dennis Jin
Arranger: Dennis Jin

Auto-generated by YouTube.",HANRORO - Topic,10,Music,HANRORO|한로로|LOVE&HATE|애증|1111,2026-04-02T09:00:41Z,560431,7326,106,PT3M52S,https://i.ytimg.com/vi/_HfPhMd_J_s/hqdefault.jpg
K-F7906Jq9U,PLAVE '흥흥흥 (feat. SOLE)' Special Video,"PLAVE
4th Mini Album
'Caligo Pt.2'

수록곡 '흥흥흥 (feat. SOLE)' Special Video

Digital Release
2026.04.13 6PM (KST)

Album Release
2026.04.14

🔹PLAVE(플레이브) OFFICIAL
WEVERSE : https://weverse.io/plave/artistpedia
FANCAFE : https://cafe.daum.net/plave
X : https://twitter.com/plave_official
INSTAGRAM : https://www.instagram.com/plave_official
TIKTOK : https://www.tiktok.com/@plave_official

#PLAVE #플레이브
#흥흥흥 #PLAVE_흥흥흥
#Caligo_Pt2",PLAVE 플레이브,10,Music,플레이브|Plave|예준|노아|밤비|은호|하민|아이돌|케이팝|버추얼|IDOL|KPOP|VIRTUAL|プレイブ|イェジュン|ノア|バンビ|ウノ|ハミン|バーチャル|アイドル,2026-04-01T11:30:04Z,5908289,66201,8397,PT3M8S,https://i.ytimg.com/vi/K-F7906Jq9U/hqdefault.jpg
lh7yT1PF2Y4,"T.O.P - ""DESPERADO"" MV","TOP SPOT - 다중관점 [ANOTHER DIMENSION] OUT NOW
https://TOPSPOT.lnk.to/AnotherDimension


#T_O_P #DESPERADO 
#TOPSPOT_PICTURES


OFFICIAL
https://instagram.com/ttt
https://instagram.com/topspot_pictures
https://twitter.com/topspot_pic


ⓒ 2026 TOPSPOT PICTURES. ALL RIGHTS RESERVED.",T.O.P,10,Music,,2026-04-03T09:00:57Z,2703933,253089,18420,PT3M38S,https://i.ytimg.com/vi/lh7yT1PF2Y4/hqdefault.jpg
om6HdemgTKQ,BTS (방탄소년단) 'SWIM' Live Clip II. (Swimming Pool ver.),"BTS 5th Album 'ARIRANG'
🎧 https://bts.lnk.to/ARIRANG

Connect with BTS:
https://ibighit.com/bts
https://x.com/bts_bighit
https://x.com/BTS_twt
http://www.facebook.com/bangtan.official
https://www.youtube.com/user/BANGTANTV
http://instagram.com/BTS.bighitofficial
https://www.tiktok.com/@bts_official_bighit
https://weverse.io/bts/highlight
https://www.weibo.com/BTSbighit",BANGTANTV,10,Music,방탄소년단|BTS|BANGTAN|알엠|RM|슈가|SUGA|제이홉|jhope|지민|정국|k-pop|방탄|j-hope|Jung Kook|Jimin|BTS V|Jin,2026-03-31T11:00:02Z,8528091,1133706,50141,PT3M7S,https://i.ytimg.com/vi/om6HdemgTKQ/hqdefault.jpg
BCsJI_ktecQ,Stellar Night,"Provided to YouTube by GENIE MUSIC

Stellar Night · Park Hyo Shin

A & E

℗ 2026 HERBIGHARO under licence to Genie Music Corporation

Released on: 2026-04-03

Lyricist: Park Hyo Shin
Lyricist: 김이나
Lyricist: SAM KIM
Composer: Park Hyo Shin
Composer: SAM KIM
Arranger: Park Hyo Shin
Arranger: SAM KIM
Arranger: Freedo

Auto-generated by YouTube.",Park Hyo Shin - Topic,10,Music,Park Hyo Shin|박효신|A & E|Stellar Night,2026-04-03T09:02:35Z,310935,4881,198,PT4M4S,https://i.ytimg.com/vi/BCsJI_ktecQ/hqdefault.jpg
